Activities,,,,,,,,,,Sleep,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2021-12-01,"2,281","2,737",2.02,7,677,150,0,0,585,2021-12-01 10:37 PM,2021-12-02 6:54 AM,416,81,25,497,135,177,104
2021-12-02,"2,504","4,090",3.01,8,758,176,9,0,777,2021-12-02 10:50 PM,2021-12-03 7:18 AM,445,62,29,507,105,263,77
2021-12-03,"2,223","2,006",1.48,5,814,119,0,0,434,2021-12-03 11:54 PM,2021-12-04 8:29 AM,458,57,32,515,126,269,63
2021-12-04,"2,772","8,510",6.27,43,718,137,23,47,"1,104",2021-12-05 3:10 AM,2021-12-05 9:56 AM,338,68,14,406,99,160,79
2021-12-05,"2,178","2,873",2.12,9,916,110,7,1,477,2021-12-05 8:48 PM,2021-12-06 5:21 AM,467,46,33,513,140,238,89
2021-12-06,"2,267","2,193",1.62,3,796,131,0,0,491,2021-12-06 10:37 PM,2021-12-07 7:01 AM,459,45,26,504,104,273,82
2021-12-07,"2,980","7,376",5.44,12,626,247,59,4,"1,443",2021-12-07 10:55 PM,2021-12-08 6:39 AM,423,41,24,464,124,200,99
2021-12-08,"2,408","4,843",4.09,19,845,102,3,26,705,2021-12-08 8:29 PM,2021-12-09 5:08 AM,443,76,30,519,96,273,74
2021-12-09,"2,346","3,529",2.6,6,778,143,0,0,580,2021-12-09 11:01 PM,2021-12-10 6:38 AM,395,62,21,457,111,201,83
2021-12-10,"3,051","10,279",7.58,19,592,391,0,0,"1,655",2021-12-10 10:18 PM,2021-12-11 9:15 AM,523,134,24,657,109,327,87
2021-12-11,"3,396","14,348",10.57,30,348,308,118,9,"2,123",2021-12-11 11:03 PM,2021-12-12 8:43 AM,527,53,35,580,172,250,105
2021-12-12,"2,283","3,623",2.63,7,717,143,0,0,620,2021-12-12 10:12 PM,2021-12-13 6:36 AM,431,73,19,504,104,237,90
2021-12-13,"2,510","5,374",4.45,20,786,113,6,31,776,2021-12-13 11:27 PM,2021-12-14 6:33 AM,393,32,26,425,116,191,86
2021-12-14,"2,201","1,909",1.41,5,901,114,0,0,407,2021-12-14 10:39 PM,2021-12-15 6:41 AM,433,49,19,482,122,230,81
2021-12-15,"2,648","5,125",4.25,15,780,123,28,27,930,2021-12-15 11:45 PM,2021-12-16 6:55 AM,375,54,14,429,118,193,64
2021-12-16,"2,802","7,452",5.49,13,738,247,26,0,"1,213",2021-12-16 10:30 PM,2021-12-17 6:58 AM,451,57,25,508,138,237,76
2021-12-17,"2,874","7,255",6.16,23,698,174,26,34,"1,218",2021-12-18 1:00 AM,2021-12-18 8:58 AM,410,68,20,478,116,199,95
2021-12-18,"2,252","3,321",2.45,10,812,150,0,0,569,2021-12-19 3:00 AM,2021-12-19 8:48 AM,293,55,14,348,63,183,47
2021-12-19,"2,103","2,022",1.49,6,"1,000",92,0,0,357,2021-12-19 10:38 PM,2021-12-20 6:44 AM,434,52,20,486,115,264,55
2021-12-20,"3,140","13,457",10.57,28,611,304,16,23,"1,684",2021-12-20 11:29 PM,2021-12-21 6:43 AM,404,30,18,434,114,192,98
2021-12-21,"2,852","8,438",6.22,6,652,354,0,0,"1,413",2021-12-21 10:07 PM,2021-12-22 6:08 AM,431,50,30,481,132,200,99
2021-12-22,"3,666","14,635",11.71,39,516,381,32,30,"2,323",2021-12-22 10:33 PM,2021-12-23 6:58 AM,454,50,25,504,120,243,91
2021-12-23,"2,278","3,155",2.33,13,789,147,0,0,549,2021-12-23 11:07 PM,2021-12-24 8:18 AM,484,67,25,551,134,258,92
2021-12-24,"3,179","10,749",8.56,31,549,278,36,26,"1,705",2021-12-24 11:52 PM,2021-12-25 8:13 AM,447,54,30,501,144,204,99
2021-12-25,"2,272","3,279",2.42,8,781,152,3,3,600,2021-12-26 2:21 AM,2021-12-26 10:07 AM,399,66,15,465,128,204,67
2021-12-26,"2,341","4,193",3.09,11,802,173,0,0,690,2021-12-26 11:30 PM,2021-12-27 6:58 AM,407,41,28,448,128,204,75
2021-12-27,"2,631","6,913",5.09,16,736,256,0,0,"1,040",2021-12-27 11:51 PM,2021-12-28 7:02 AM,388,43,22,431,105,210,73
2021-12-28,"2,601","7,790",5.71,12,745,264,0,0,"1,067",2021-12-29 1:16 AM,2021-12-29 7:39 AM,337,45,23,382,101,140,96
2021-12-29,"2,292","3,088",2.25,8,947,111,0,0,486,2021-12-29 11:35 PM,2021-12-30 7:29 AM,423,51,24,474,125,186,112
2021-12-30,"2,493","7,396",5.39,12,751,183,27,5,913,2021-12-31 1:49 AM,2021-12-31 8:50 AM,381,40,24,421,120,181,80
2021-12-31,"2,141","3,032",2.23,10,858,161,0,0,555,2022-01-01 12:54 AM,2022-01-01 9:24 AM,455,54,32,509,144,181,130
2022-01-01,"2,515","8,164",5.89,41,734,150,15,32,907,2022-01-02 3:19 AM,2022-01-02 9:24 AM,330,35,17,365,115,124,91
2022-01-02,"2,364","4,837",3.56,16,887,188,0,0,752,2022-01-02 9:01 PM,2022-01-03 5:57 AM,464,72,35,536,131,252,81
2022-01-03,"2,029","1,513",1.12,4,818,86,0,0,302,2022-01-03 10:57 PM,2022-01-04 6:30 AM,396,57,26,453,92,213,91
2022-01-04,"2,572","5,213",3.99,11,812,132,7,36,876,2022-01-04 11:05 PM,2022-01-05 7:18 AM,434,59,18,493,134,216,84
2022-01-05,"2,307","2,548",1.69,5,814,111,12,10,562,2022-01-05 11:36 PM,2022-01-06 8:47 AM,443,108,11,551,85,278,80
2022-01-06,"2,173","2,404",1.77,7,756,133,0,0,477,2022-01-06 11:37 PM,2022-01-07 7:14 AM,416,41,22,457,121,246,49
2022-01-07,"2,309","2,646",1.77,4,859,109,3,12,549,2022-01-08 12:59 AM,2022-01-08 8:32 AM,418,35,22,453,128,200,90
2022-01-08,"2,968","8,565",6.24,26,712,187,83,5,"1,412",2022-01-09 1:07 AM,2022-01-09 8:53 AM,418,48,25,466,123,213,82
2022-01-09,"2,152","2,355",1.74,6,857,117,0,0,436,2022-01-09 10:36 PM,2022-01-10 6:39 AM,439,44,29,483,123,227,89
2022-01-10,"2,476","3,879",2.74,16,780,155,5,17,788,2022-01-10 10:37 PM,2022-01-11 5:57 AM,397,43,20,440,119,217,61
2022-01-11,"2,649","7,082",5.13,38,827,120,19,34,898,2022-01-11 11:06 PM,2022-01-12 6:58 AM,426,46,20,472,109,245,72
2022-01-12,"2,453","2,682",1.82,6,809,122,10,27,794,2022-01-12 10:15 PM,2022-01-13 6:49 AM,465,49,26,514,132,233,100
2022-01-13,"2,269","1,790",1.32,6,814,112,0,0,438,2022-01-13 11:43 PM,2022-01-14 6:59 AM,381,54,22,435,101,213,67
2022-01-14,"2,179","1,981",1.46,3,907,98,0,0,388,2022-01-14 10:17 PM,2022-01-15 8:59 AM,578,64,38,642,157,317,104
2022-01-15,"2,031","1,169",0.86,3,732,66,0,0,245,2022-01-16 12:31 AM,2022-01-16 8:56 AM,445,60,18,505,128,251,66
2022-01-16,"2,657","5,986",4.39,15,689,229,12,5,"1,073",2022-01-16 10:45 PM,2022-01-17 6:58 AM,438,55,26,493,113,239,86
2022-01-17,"1,973","1,222",0.9,2,886,61,0,0,225,2022-01-17 8:22 PM,2022-01-18 2:20 AM,316,42,15,358,91,169,56
2022-01-18,"2,168","2,029",1.5,5,969,113,0,0,411,2022-01-18 9:29 PM,2022-01-19 6:11 AM,446,76,26,522,119,253,74
2022-01-19,"2,994","9,463",6.97,16,579,319,17,3,"1,499",2022-01-19 10:46 PM,2022-01-20 6:29 AM,407,56,18,463,142,146,119
2022-01-20,"2,165","2,049",1.51,4,869,103,5,0,402,2022-01-20 10:38 PM,2022-01-21 6:28 AM,409,61,31,470,95,233,81
2022-01-21,"2,598","7,751",5.76,43,790,128,14,38,908,2022-01-22 1:20 AM,2022-01-22 9:28 AM,416,72,29,488,93,256,67
2022-01-22,"2,778","8,475",6.25,31,683,223,44,2,"1,253",2022-01-23 1:17 AM,2022-01-23 8:15 AM,382,36,18,418,135,165,82
2022-01-23,"2,458","7,489",5.37,35,875,103,16,28,768,2022-01-23 11:35 PM,2022-01-24 6:50 AM,389,46,22,435,100,214,75
2022-01-24,"2,701","5,817",4.24,15,771,234,0,0,"1,041",2022-01-24 9:50 PM,2022-01-25 7:01 AM,491,60,38,551,141,259,91
2022-01-25,"2,380","1,571",1.04,4,780,85,2,22,572,2022-01-25 11:11 PM,2022-01-26 7:19 AM,429,59,28,488,117,220,92
2022-01-26,"2,659","2,012",1.3,3,782,132,15,23,882,2022-01-26 11:27 PM,2022-01-27 6:59 AM,403,49,26,452,91,241,71
2022-01-27,"2,302","3,145",2.32,11,825,163,0,0,598,2022-01-27 10:40 PM,2022-01-28 6:59 AM,442,57,28,499,132,235,75
2022-01-28,"2,529","2,996",1.94,7,761,144,13,23,848,2022-01-28 8:21 PM,2022-01-29 7:39 AM,580,98,23,678,145,353,82
2022-01-29,"2,816","10,538",7.75,47,500,203,26,33,"1,268",2022-01-30 12:25 AM,2022-01-30 7:38 AM,400,33,18,433,99,230,71
2022-01-30,"2,281","3,631",2.68,10,836,171,0,0,633,2022-01-30 11:34 PM,2022-01-31 6:59 AM,392,53,22,445,93,229,70
2022-01-31,"2,229","2,317",1.71,4,858,137,0,0,493,2022-01-31 10:39 PM,2022-02-01 6:51 AM,442,50,32,492,82,284,76
2022-02-01,"2,396","4,097",3.02,13,787,161,0,0,661,2022-02-01 10:29 PM,2022-02-02 6:43 AM,434,60,21,494,114,225,95
